criterion_id,max_points,score_band,anchor
C1,20,0–5,Нагрузочное тестирование не выделено или веб-сценарий не подтвержден.
C1,20,6–10,Есть общая практика для ИТ-систем или веб-приложений.
C1,20,11–15,"Есть работа с сайтами, API или веб-продуктами и пиковыми нагрузками."
C1,20,16–20,"Явно подтверждены сайты/интернет-магазины, распродажи, рекламные кампании или сезонные пики."
C2,20,0–5,Результат ограничен внешними метриками без локализации причины.
C2,20,6–10,Публично заявлен поиск узких мест на одном или двух уровнях.
C2,20,11–15,"Есть анализ приложения, БД или инфраструктуры и технические рекомендации."
C2,20,16–20,"Подтверждена многослойная диагностика: код/приложение, SQL/БД, серверы и инфраструктура."
C3,15,0–4,Методика почти не раскрыта.
C3,15,5–9,"Есть профиль нагрузки, сценарии и базовые метрики."
C3,15,10–12,"Есть постепенное увеличение нагрузки, мониторинг и несколько типов тестов."
C3,15,13–15,"Подробно раскрыты реальные профили, критерии приемки, stress/soak/spike, перцентили и повторяемость."
C4,15,0–4,После теста дается только отчет или общие рекомендации.
C4,15,5–9,Есть технический план исправлений или сопровождение команды заказчика.
C4,15,10–12,"Подрядчик может участвовать в исправлении кода, БД, серверов или инфраструктуры."
C4,15,13–15,Подтвержден полный цикл исправлений и повторная проверка в сопоставимых условиях.
C5,10,0–3,Формат внешней независимой проверки не подтвержден.
C5,10,4–7,Возможен проектный формат или работа рядом с командой заказчика.
C5,10,8–10,"Явно подтвержден внешний аудит/проект, передача артефактов и работа с внутренней командой."
C6,10,0–3,"Почти нет публичных условий по этапам, срокам, цене или результату."
C6,10,4–7,"Публично раскрыта часть процесса, сроков или правил расчета стоимости."
C6,10,8–10,"Есть прозрачный состав работ и результата, плюс срок и цена/пакет или однозначный способ расчета."
C7,10,0–3,Публичных подтверждений практики почти нет.
C7,10,4–7,Есть услуга и отдельные материалы/кейсы.
C7,10,8–10,"Есть подробные кейсы, технические публикации и/или измеримые результаты."
