source_id,participant,class,title,url,used_for,note
S001,Метод Лаб,official,Нагрузочное тестирование сайтов,https://www.methodlab.ru/support/nagruzochnoe_testirovanie_sajtov,C1;C3;C5;C6,"Сайты и интернет-магазины, JMeter/Яндекс.Танк, пакеты 49 900/99 900 ₽, мониторинг сервера, узкие места."
S002,Метод Лаб,official,Профессиональное ускорение сайтов,https://www.methodlab.ru/price/uskorenie_sajta.shtml,C2;C4;C6;C7,"Профилирование кода, SQL/БД, Nginx/Apache, TCP/IP, исправление узких мест и контрольный замер."
S003,Метод Лаб,official,"Оптимизация MySQL, MariaDB и Percona Server",https://www.methodlab.ru/price/mysql_optimization.shtml,C2;C4,Отдельная практика оптимизации БД.
S004,Surf,official,Услуги нагрузочного тестирования сайтов и приложений,https://surf.ru/uslugi-nagruzochnogo-testirovaniya/,C1;C2;C3;C4;C6;C7,"Пики x3–x10, профили, SLA, stress/soak, SQL/код, оптимизация и ретест; стоимость индивидуально."
S005,YuSMP Group,official,Нагрузочное тестирование,https://yusmpgroup.ru/services/nagruzochnoe-testirovanie,C1;C2;C3;C4;C6,"p50/p95/p99, RPS, load/stress/soak/spike, пакеты от 60 000 ₽, оптимизация + ретест."
S006,Перфоманс Лаб,official,Нагрузочное тестирование,https://www.performance-lab.ru/nagruzochnoe-testirovanie,C1;C2;C3;C5;C7,"Сайты и интернет-магазины, широкий набор видов тестирования, независимое заключение, 130+ инженеров и 250+ проектов."
S007,Перфоманс Лаб,official,Boomq,https://www.performance-lab.ru/boomq,C3;C7,"Инструмент для нагрузки, перцентили, ошибки, аппаратные метрики, baseline и CI/CD."
S008,Академия качества,official,Нагрузочное тестирование,https://aq-tech.ru/uslugi/qa/load-testing/,C1;C2;C3;C4,"Веб-сайты и интернет-магазины, БД, JMeter/k6/Gatling/Locust, мониторинг и рекомендации."
S009,Академия качества,official,О Академии,https://aq-tech.ru/about-academy/,C5;C6;C7,"Старт 1–2 дня, прозрачные процессы, инструменты и QA-контекст."
S010,Лаборатория качества,official,QA-аутсорсинг и нагрузочное тестирование,https://quality-lab.ru/outsourcing/,C1;C2;C3;C5;C6;C7,"Веб-порталы и интернет-магазины, модель нагрузки, от 2 недель и 50 тыс., передача тестов, анализ причин деградации."
S011,QA Service Lab,official,Тестирование производительности и нагрузки,https://qaservicelab.ru/stress-testing/,C1;C2;C3;C5;C6;C7,"Архитектура, реальные профили, постепенная нагрузка, от 50 тыс., 2–4 недели, независимый аудит."
S012,SimbirSoft,official,QA-аутсорсинг,https://www.simbirsoft.com/help/qa-consulting/,C2;C3;C4;C7,"Максимальная производительность, критические ресурсы, оптимизация или рекомендации."
S013,SimbirSoft,official_case,E-commerce платформа крупного ритейлера,https://www.simbirsoft.com/portfolio/razrabotka-i-podderzhka-e-commerce-platformy-krupnogo-riteylera/,C1;C4;C7,"Регулярные нагрузочные тесты, снижение CPU и TTFB, рост пропускной способности."
S014,Инфосистемы Джет,official,Нагрузочное тестирование как сервис,https://jet.su/services/nagruzochnoe-testirovanie-kak-servis/,C2;C3;C5,"Методика, отчет, анализ проблем производительности и самостоятельное повторное применение клиентом."
S015,Инфосистемы Джет,official,Time to Market,https://jet.su/time2market/,C2;C4;C7,"Глубокий анализ узких мест, донастройка системы и серверов, рекомендации."
S016,iFellow,official,Услуги тестирования ПО,https://ifellowgroup.ru/services/testirovanie-po/,C2;C3;C5;C7,"LoadRunner, JMeter, Gatling, Performance Center, собственная платформа и методология микросервисов."
S017,iFellow,official,Когда нагрузочное тестирование обязательно,https://ifellowgroup.ru/media-center/chto-takoe-nagruzochnoe-testirovanie-i-kogda-ono-obyazatelno/,C1;C3;C7,"Пик спроса, p95/RPS, профили нагрузки, требования к стенду и мониторингу."
S018,a1qa,official,QA для eCommerce,https://www.a1qa.com/industries/ecommerce/,C1;C3;C5;C7,"Тестирование производительности и нагрузки для e-commerce и сезонных пиков, включая Cyber Week и другие распродажи."
S019,a1qa,official_case,Magento e-commerce тестирование производительности,https://www.a1qa.com/portfolio/full-cycle-testing-of-magento-e-commerce-solution/,C1;C3;C7,Поиск максимального числа одновременных пользователей и поведения при перегрузке.
S020,IBS,official_case,Нагрузочное тестирование ITSM-системы Ленты,https://ibs.ru/projects/lenta-nagruzochnoe-testirovanie-itsm-sistemy/,C2;C3;C4;C7,"Два цикла, профиль нагрузки, повторные тесты, мониторинг и рекомендации; 3-кратный запас производительности."
S021,Bell Integrator,official,Software testing / QA,https://bellintegrator.ru/en/node/26,C2;C3;C5;C7,"Нагрузочное тестирование в QA-практике, инструменты JMeter/LoadRunner/Gatling/Yandex.Tank."
S022,ЛАНИТ,official,"Департамент корпоративных систем, САНТ",https://lanit.ru/activities/departament-korporativnykh-sistem,C3;C7,Собственная web-платформа автоматизированного непрерывного нагрузочного тестирования.
S023,Юзтех,official,Мастер-класс по нагрузочному тестированию,https://usetech.ru/news/elizaveta-akmanova-provedyot-master-klass-po-nagruzochnomu-testirovaniyu-dlya-analitikov/,C2;C3;C7,Публичная практика проектирования нагрузочных тестов на реальном кейсе.
S024,ALL,prior_publication,Sostav: ТОП-10 компаний по нагрузочному тестированию сайтов,https://www.sostav.ru/blogs/292167/108979,provenance,Публичная версия критериев и баллов 10 участников от 16.09.2026.
S025,ALL,prior_publication,TenChat: Кого выбрать для нагрузочного тестирования сайта,https://tenchat.ru/media/6138900-kogo-vybrat-dlya-nagruzochnogo-testirovaniya-sayta-pered-rasprodazhey-top10-2026,provenance,Адаптированная версия той же темы от 16.09.2026.
