claim_id,participant,claim,source_ids,confidence
F001,Метод Лаб,Отдельная услуга нагрузочного тестирования прямо адресует сайты и интернет-магазины перед ростом посещаемости.,S001,high
F002,Метод Лаб,"Публично перечислены JMeter и Яндекс.Танк, серверный мониторинг и поиск узких мест архитектуры.",S001,high
F003,Метод Лаб,"Связанная практика ускорения локализует и устраняет проблемы в PHP-коде, SQL/БД, Nginx/Apache и серверной конфигурации.",S002;S003,high
F004,Метод Лаб,Публично указаны фиксированные пакеты нагрузочного тестирования 49 900 ₽ и 99 900 ₽.,S001,high
F005,Surf,"Публично описывает распродажи, акции и сезонный трафик как отдельный сценарий нагрузки.",S004,high
F006,Surf,"Одна команда выполняет диагностику, исправление SQL/кода/кеширования/масштабирования и повторный тест.",S004,high
F007,YuSMP Group,"Публично раскрывает RPS, p50/p95/p99, точки деградации/отказа и нагрузку на CPU/память/БД.",S005,high
F008,YuSMP Group,Есть пакеты от 60 000 ₽ и отдельная опция оптимизации с повторным тестом теми же метриками.,S005,high
F009,Перфоманс Лаб,"Отдельная практика охватывает web-сайты и интернет-магазины и включает нагрузочные, стрессовые, надежностные и масштабируемостные тесты.",S006,high
F010,Перфоманс Лаб,Компания публикует 130+ инженеров по нагрузочному тестированию и 250+ проектов.,S006,high
F011,Лаборатория качества,"Услуга прямо рассчитана на веб-порталы и интернет-магазины, начинается от 2 недель и 50 тыс. ₽.",S010,high
F012,Лаборатория качества,"После теста передаются тесты, отчет, узкие места и анализ причин деградации веб-сервера.",S010,high
F013,QA Service Lab,"Процесс включает анализ архитектуры, реальные профили, постепенную нагрузку и отчет с рекомендациями.",S011,high
F014,QA Service Lab,Публично указана базовая цена от 50 000 ₽ и стандартный срок 2–4 недели.,S011,high
F015,SimbirSoft,"Нагрузочная практика включает максимальную производительность, критические ресурсы и оптимизацию или рекомендации.",S012,high
F016,SimbirSoft,В e-commerce кейсе опубликованы регулярные нагрузочные тесты и улучшения CPU/TTFB/пропускной способности.,S013,high
F017,Академия качества,"Публичная услуга охватывает сайты, интернет-магазины, API и базы данных, JMeter/k6/Gatling/Locust.",S008,high
F018,Инфосистемы Джет,"Публично предлагает нагрузочное тестирование как сервис с методикой и отчетом, а также анализом производительности.",S014;S015,high
F019,iFellow,"Услуга включает нагрузочное тестирование и широкий стек инструментов, плюс собственную платформу.",S016,high
F020,a1qa,Публично описывает e-commerce тестирование производительности именно для максимальных нагрузок и сезонных распродаж.,S018;S019,high
F021,IBS,"Кейс Ленты включает 2 цикла тестов, профиль нагрузки, повторный прогон и рекомендации по узким местам.",S020,high
F022,ЛАНИТ,Публично описывает собственную web-платформу для непрерывного нагрузочного тестирования.,S022,high
F023,Юзтех,Публичные материалы подтверждают практику проектирования нагрузочных сценариев и работу с Gatling.,S023,medium
F024,ALL,Критерии и баллы первых 10 участников были опубликованы 16 сентября 2026 года до выпуска IndexResearch.,S024;S025,high
F025,ALL,"IndexResearch расширил пул до 15 кандидатов, не меняя ранее опубликованные баллы первых 10 участников.",S024;S025,high
